name,artist,performance,chroma,mode,onsets,length,onsetrate
Bach_WTC1_Gould_Prelude_9_Minor (P1).wav,Gould,P1,9,Minor,115,22.6190022675737,5.08422072024205
Bach_WTC1_Gulda_Prelude_0_Major (P1).wav,Gulda,P1,0,Major,135,30.3594557823129,4.44672002581316
Bach_WTC1_Gulda_Prelude_0_Minor (P1).wav,Gulda,P1,0,Minor,137,33.3983446712018,4.1019997053366
Bach_WTC1_Gulda_Prelude_10_Major (P1).wav,Gulda,P1,10,Major,173,24.3924036281179,7.09237197930659
Bach_WTC1_Gulda_Prelude_10_Minor (P1).wav,Gulda,P1,10,Minor,100,64.9986167800454,1.53849427809209
Bach_WTC1_Gulda_Prelude_11_Major (P1).wav,Gulda,P1,11,Major,138,27.3113378684807,5.05284657472829
Bach_WTC1_Gulda_Prelude_11_Minor (P1).wav,Gulda,P1,11,Minor,70,44.321156462585,1.57938117113646
Bach_WTC1_Gulda_Prelude_1_Major (P1).wav,Gulda,P1,1,Major,39,7.89575963718821,4.93936008592689
Bach_WTC1_Gulda_Prelude_1_Minor (P1).wav,Gulda,P1,1,Minor,82,25.0550566893424,3.2727924353442
Bach_WTC1_Gulda_Prelude_2_Major (P1).wav,Gulda,P1,2,Major,106,17.08,6.20608899297424
Bach_WTC1_Gulda_Prelude_2_Minor (P1).wav,Gulda,P1,2,Minor,150,25.8863945578231,5.79454970698762
Bach_WTC1_Gulda_Prelude_3_Major (P1).wav,Gulda,P1,3,Major,150,25.3254421768707,5.92289757282075
Bach_WTC1_Gulda_Prelude_3_Minor (P1).wav,Gulda,P1,3,Minor,106,52.0221768707483,2.03759254948831
Bach_WTC1_Gulda_Prelude_4_Major (P1).wav,Gulda,P1,4,Major,106,29.7126757369615,3.56750098639349
Bach_WTC1_Gulda_Prelude_4_Minor (P1).wav,Gulda,P1,4,Minor,133,37.7411337868481,3.52400647927401
Bach_WTC1_Gulda_Prelude_5_Major (P1).wav,Gulda,P1,5,Major,167,26.8234013605442,6.22590691446194
Bach_WTC1_Gulda_Prelude_5_Minor (P1).wav,Gulda,P1,5,Minor,142,36.9073469387755,3.84747243511054
Bach_WTC1_Gulda_Prelude_6_Major (P1).wav,Gulda,P1,6,Major,104,28.9312244897959,3.59473205279234
Bach_WTC1_Gulda_Prelude_6_Minor (P1).wav,Gulda,P1,6,Minor,116,19.0377551020408,6.09315538403816
Bach_WTC1_Gulda_Prelude_7_Major (P1).wav,Gulda,P1,7,Major,166,23.9384126984127,6.93446144869109
Bach_WTC1_Gulda_Prelude_7_Minor (P1).wav,Gulda,P1,7,Minor,174,39.8830612244898,4.36275437887293
Bach_WTC1_Gulda_Prelude_8_Major (P1).wav,Gulda,P1,8,Major,62,20.2672335600907,3.05912495734433
Bach_WTC1_Gulda_Prelude_8_Minor (P1).wav,Gulda,P1,8,Minor,88,29.3767800453515,2.99556315784599
Bach_WTC1_Gulda_Prelude_9_Major (P1).wav,Gulda,P1,9,Major,113,19.0995691609977,5.91636382200451
Bach_WTC1_Gulda_Prelude_9_Minor (P1).wav,Gulda,P1,9,Minor,99,22.8558276643991,4.33149923309079
Bach_WTC1_Landowska_Prelude_0_Major (H1).wav,Landowska,H1,0,Major,145,30.5869841269841,4.74057852183209
Bach_WTC1_Landowska_Prelude_0_Minor (H1).wav,Landowska,H1,0,Minor,133,19.1889795918367,6.9310616212537
Bach_WTC1_Landowska_Prelude_10_Major (H1).wav,Landowska,H1,10,Major,201,29.3919954648526,6.83859659138689
Bach_WTC1_Landowska_Prelude_10_Minor (H1).wav,Landowska,H1,10,Minor,240,65.8849886621315,3.64271141080038
Bach_WTC1_Landowska_Prelude_11_Major (H1).wav,Landowska,H1,11,Major,189,47.6269841269841,3.96833861023163
Bach_WTC1_Landowska_Prelude_11_Minor (H1).wav,Landowska,H1,11,Minor,111,30.7789795918367,3.60635737350564
Bach_WTC1_Landowska_Prelude_1_Major (H1).wav,Landowska,H1,1,Major,64,8.34798185941043,7.66652360748181
Bach_WTC1_Landowska_Prelude_1_Minor (H1).wav,Landowska,H1,1,Minor,189,37.4269841269841,5.0498324780525
Bach_WTC1_Landowska_Prelude_2_Major (H1).wav,Landowska,H1,2,Major,130,16.9819954648526,7.65516633596206
Bach_WTC1_Landowska_Prelude_2_Minor (H1).wav,Landowska,H1,2,Minor,195,28.0109977324263,6.96155138287925
Bach_WTC1_Landowska_Prelude_3_Major (H1).wav,Landowska,H1,3,Major,187,44.9239909297052,4.16258654073295
Bach_WTC1_Landowska_Prelude_3_Minor (H1).wav,Landowska,H1,3,Minor,112,35.09,3.19179253348532
Bach_WTC1_Landowska_Prelude_4_Major (H1).wav,Landowska,H1,4,Major,150,32.1569841269841,4.66461653890389
Bach_WTC1_Landowska_Prelude_4_Minor (H1).wav,Landowska,H1,4,Minor,213,46.7059863945578,4.56044324170014
Bach_WTC1_Landowska_Prelude_5_Major (H1).wav,Landowska,H1,5,Major,175,33.4849886621315,5.22622246540908
Bach_WTC1_Landowska_Prelude_5_Minor (H1).wav,Landowska,H1,5,Minor,225,51.82,4.34195291393284
Bach_WTC1_Landowska_Prelude_6_Major (H1).wav,Landowska,H1,6,Major,107,26.1339909297052,4.09428473009755
Bach_WTC1_Landowska_Prelude_6_Minor (H1).wav,Landowska,H1,6,Minor,139,26.4869841269841,5.24786058441403
