,filename,mirmode_essentia-cqt,mirmode_essentia-sftf,mirmode_MIRtoolbox-std,mirmode_MIRtoolbox-dir,mirmode_librosa-cqt,mirmode_librosa-stft,mirmode_librosa-cens,mirmode_librosa-vqt
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_Major_bachAshk2006.wav,0.03578647,0.168100639,0.223359093,0.223359093,0.265340159,0.143204673,0.233689106,0.074207373
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_minor_bachAshk2006.wav,-0.042006754,-0.112886575,-0.125185569,-0.125185569,-0.116017129,-0.043502923,-0.105909287,-0.085198427
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_Major_bachAshk2006.wav,-0.203568949,-0.174141177,-0.207759764,-0.207759764,-0.117652273,-0.102329028,-0.132830513,-0.332007436
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_minor_bachAshk2006.wav,-0.167026862,-0.095908081,-0.210464386,-0.210464387,0.010015769,0.033356084,0.000619367,-0.081696768
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_Major_bachAshk2006.wav,0.060197452,0.178317773,0.174467319,0.174467319,0.33788612,0.185990567,0.301141235,0.139846992
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_minor_bachAshk2006.wav,-0.039617091,0.01450232,0.104665672,0.104665672,0.001207979,-0.024295694,-0.001462225,-0.041268453
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_Major_bachAshk2006.wav,0.037476095,0.090225711,0.325793462,0.325793461,0.178739675,0.114800017,0.195319518,0.109580324
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_minor_bachAshk2006.wav,-0.00851027,-0.039594184,0.041582431,0.04158243,-0.006518531,-0.067661851,-0.032975462,-0.035867076
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_Major_bachAshk2006.wav,0.191374924,0.177530444,0.35977681,0.35977681,0.355090726,0.265946,0.358482219,0.172009647
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_minor_bachAshk2006.wav,-0.01156979,-0.003661833,0.137963098,0.137963098,0.155315553,0.008382495,0.152974786,-0.010192118
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_Major_bachAshk2006.wav,0.020987264,0.011907829,0.152403242,0.152403242,0.0845903,-0.07662503,0.09783333,0.024466686
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_minor_bachAshk2006.wav,-0.006594642,-0.137293558,-0.220196128,-0.220196128,-0.31743672,-0.170086423,-0.311707431,-0.089278907
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_Major_bachAshk2006Deadpan.wav,0.127636805,0.131138069,-0.054223371,-0.054223371,0.232827863,0.194905394,0.226256742,0.128382229
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_minor_bachAshk2006Deadpan.wav,0.039880063,-0.035369864,0.195892783,0.195892782,-0.030916293,0.13032128,-0.05281018,0.03869101
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_Major_bachAshk2006Deadpan.wav,0.058386069,0.13349451,-0.024106965,-0.024106965,0.074888476,-0.112333039,0.019264635,0.047753295
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_minor_bachAshk2006Deadpan.wav,-0.170961557,-0.254585975,-0.215268346,-0.215268346,-0.253504737,-0.19085218,-0.234034684,-0.251885025
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_Major_bachAshk2006Deadpan.wav,-0.199561291,-0.073951105,-0.173201962,-0.173201962,-0.114631853,-0.105197089,-0.126580564,-0.159801103
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_minor_bachAshk2006Deadpan.wav,0.075730176,0.254207442,0.223160736,0.223160736,0.122093074,0.084272776,0.117479092,0.154256476
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_Major_bachAshk2006Deadpan.wav,0.170232157,0.12749207,0.171822886,0.171822886,0.207451531,0.194461941,0.217355227,0.173146167
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_minor_bachAshk2006Deadpan.wav,-0.133998435,-0.004598773,-0.208328006,-0.208328007,-0.044418354,-0.083258127,-0.066227763,-0.120106454
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_Major_bachAshk2006Deadpan.wav,0.013008015,0.269962641,0.291421348,0.291421347,0.173402598,0.129464192,0.097796967,0.110930547
