,filename,centroid_essentia-std,centroid_MIRtoolbox-std,centroid_librosa-std
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_Major_bachAshk2006Deadpan.wav,708.0334473,1024.295484,906.4866635
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_minor_bachAshk2006Deadpan.wav,643.5287476,979.5959156,836.1103903
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_Major_bachAshk2006Deadpan.wav,645.1607666,962.4312762,844.3080756
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_minor_bachAshk2006Deadpan.wav,595.9525146,1109.183658,806.505998
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_Major_bachAshk2006Deadpan.wav,650.9086304,1016.759526,847.9447809
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_minor_bachAshk2006Deadpan.wav,628.9298096,1078.714608,835.3446045
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_Major_bachAshk2006Deadpan.wav,628.6295776,930.7271677,840.5905976
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_minor_bachAshk2006Deadpan.wav,598.7567749,912.6946692,797.2543103
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_Major_bachAshk2006Deadpan.wav,669.088562,1000.792207,876.0538474
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_minor_bachAshk2006Deadpan.wav,635.3600464,926.3406551,842.616245
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_Major_bachAshk2006Deadpan.wav,643.0509033,901.9504605,835.0722374
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_minor_bachAshk2006Deadpan.wav,639.6403809,982.165115,857.4692759
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_Major_bachAshk2006Deadpan.wav,667.5005493,959.6971319,893.7925961
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_minor_bachAshk2006Deadpan.wav,621.843811,980.5265009,825.7858535
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_Major_bachAshk2006Deadpan.wav,664.5939941,965.8186783,859.6104111
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_minor_bachAshk2006Deadpan.wav,650.6400757,954.5383907,861.8349303
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_Major_bachBarenboim2006.wav,508.0205078,679.3103713,582.0585747
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_minor_bachBarenboim2006.wav,489.0856628,705.7171629,664.1803403
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_Major_bachBarenboim2006.wav,510.4745483,779.089051,726.3410398
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_minor_bachBarenboim2006.wav,589.5371094,813.9256456,631.898679
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_Major_bachBarenboim2006.wav,530.7965088,627.3112579,587.4159874
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_minor_bachBarenboim2006.wav,486.0939026,657.3227581,577.1611527
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_Major_bachBarenboim2006.wav,649.2890625,760.6135147,675.7375336
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_minor_bachBarenboim2006.wav,491.8838196,685.7424674,578.4210112
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_Major_bachBarenboim2006.wav,595.8311768,704.2495879,684.7227652
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_minor_bachBarenboim2006.wav,487.825592,654.9784204,577.2620154
0,audio/bachBarenboim2006/Bach_1_Barenboim_3_Major_bachBarenboim2006.wav,618.0170288,992.5114095,845.1964754
0,audio/bachBarenboim2006/Bach_1_Barenboim_3_minor_bachBarenboim2006.wav,542.3522339,675.7213917,608.689507
0,audio/bachBarenboim2006/Bach_1_Barenboim_4_Major_bachBarenboim2006.wav,568.2758789,706.6769481,637.7335145
0,audio/bachBarenboim2006/Bach_1_Barenboim_4_minor_bachBarenboim2006.wav,695.5886841,861.7970166,670.3292025
0,audio/bachBarenboim2006/Bach_1_Barenboim_5_Major_bachBarenboim2006.wav,520.2359619,735.4954364,669.0251153
0,audio/bachBarenboim2006/Bach_1_Barenboim_5_minor_bachBarenboim2006.wav,458.3562927,634.1814645,574.4996542
0,audio/bachBarenboim2006/Bach_1_Barenboim_6_Major_bachBarenboim2006.wav,582.15448,726.9423872,629.7821442
0,audio/bachBarenboim2006/Bach_1_Barenboim_6_minor_bachBarenboim2006.wav,579.1871948,824.058109,757.6782572
0,audio/bachBarenboim2006/Bach_1_Barenboim_7_Major_bachBarenboim2006.wav,543.7161255,747.0116258,709.4942675
0,audio/bachBarenboim2006/Bach_1_Barenboim_7_minor_bachBarenboim2006.wav,588.0046997,718.6356845,658.3989145
0,audio/bachBarenboim2006/Bach_1_Barenboim_8_Major_bachBarenboim2006.wav,588.0596313,834.7662907,729.6211372
0,audio/bachBarenboim2006/Bach_1_Barenboim_8_minor_bachBarenboim2006.wav,460.0761719,642.4803662,579.4652856
0,audio/bachBarenboim2006/Bach_1_Barenboim_9_Major_bachBarenboim2006.wav,554.2644653,685.9506105,624.4575195
0,audio/bachBarenboim2006/Bach_1_Barenboim_9_minor_bachBarenboim2006.wav,701.7080688,1123.448997,952.9806778
0,audio/bachDemaria2015/Bach_1_De-Maria_0_Major_bachDemaria2015.wav,486.3881531,702.0518749,543.085316
0,audio/bachDemaria2015/Bach_1_De-Maria_0_minor_bachDemaria2015.wav,549.0690918,852.3170527,761.2226649
0,audio/bachDemaria2015/Bach_1_De-Maria_10_Major_bachDemaria2015.wav,481.0777283,731.3518573,625.1470451
0,audio/bachDemaria2015/Bach_1_De-Maria_10_minor_bachDemaria2015.wav,526.7330322,747.3737821,574.006044
0,audio/bachDemaria2015/Bach_1_De-Maria_11_Major_bachDemaria2015.wav,499.9092712,561.9841318,551.1585597
0,audio/bachDemaria2015/Bach_1_De-Maria_11_minor_bachDemaria2015.wav,479.8771362,585.2296879,539.4628831
0,audio/bachDemaria2015/Bach_1_De-Maria_1_Major_bachDemaria2015.wav,565.2950439,769.7460415,646.2395198
0,audio/bachDemaria2015/Bach_1_De-Maria_1_minor_bachDemaria2015.wav,543.6516113,763.6270606,632.055849
0,audio/bachDemaria2015/Bach_1_De-Maria_2_Major_bachDemaria2015.wav,622.409668,763.0603593,729.6997814
