filename,artist,performance,chroma,mode,mode_val,mode_valsum,chromagram_1,chromagram_2,chromagram_3,chromagram_4,chromagram_5,chromagram_6,chromagram_7,chromagram_8,chromagram_9,chromagram_10,chromagram_11,chromagram_12,krumhansl_1,krumhansl_2,krumhansl_3,krumhansl_4,krumhansl_5,krumhansl_6,krumhansl_7,krumhansl_8,krumhansl_9,krumhansl_10,krumhansl_11,krumhansl_12,krumhansl_13,krumhansl_14,krumhansl_15,krumhansl_16,krumhansl_17,krumhansl_18,krumhansl_19,krumhansl_20,krumhansl_21,krumhansl_22,krumhansl_23,krumhansl_24
Bach_WTC1_De-Maria_Prelude_0_Major (P1).wav,De-Maria,P1,0,Major,0.0686583129823278,5.94133610955033,0.999999998495662,0.426440261045046,0.931979331764901,0.298725123721015,0.940846598138838,0.333183308821666,0.579539557499775,0.773012457666311,0.297758374796452,0.898306622398488,0.278541511400908,0.739203909501404,0.862819001457653,-0.762467201687677,0.509787690584714,-0.308010120574335,-0.078825217312873,0.501792344681468,-0.763731101326674,0.761192174028406,-0.495782883781115,0.244463367582804,-0.00476097640254363,-0.466477077249827,0.253347566457883,-0.361547053836136,0.532911456760564,-0.729611415598519,0.609171694133927,-0.194654932026502,-0.121756279039876,0.28549148004004,-0.620881130137565,0.794160688475325,-0.647110084100967,0.200478008871827
Bach_WTC1_De-Maria_Prelude_0_Major (S1).wav,De-Maria,S1,0,Major,-0.0305273105769034,5.78715101074669,0.78313605226906,0.27952534802922,0.911342819126574,0.314256021487281,0.999999998724001,0.396780817436398,0.392722692518694,0.552532722395918,0.402819061838829,0.802540034272492,0.312105439496709,0.492314988471475,0.76535751009495,-0.672992384967225,0.450025945772172,-0.21686836973119,-0.0464716653023392,0.537704281420661,-0.853211551586699,0.593215114991395,-0.363044801990335,0.29852816253765,0.104722184627179,-0.596964425866219,0.187184013830406,-0.274832626611797,0.641354428220622,-0.745645908746042,0.493544825195616,-0.0702845846428039,-0.187667939136718,0.279620767472923,-0.56095909440741,0.795884820671854,-0.562404779467758,0.00420607762110977
Bach_WTC1_De-Maria_Prelude_0_Minor (P1).wav,De-Maria,P1,0,Minor,-0.167847262338512,4.21867749639397,0.999999998989869,0.443213490805974,0.765025847619941,0.932515820247341,0.495677477569876,0.516201820738824,0.602734950783044,0.786186084752776,0.739617963697172,0.574861430679608,0.579777999421447,0.349225324637645,0.223914274509631,0.0916935543540613,-0.342261584735475,0.612965847841735,-0.490488676076582,0.137576699014295,-0.211926013726271,-0.0128884795111958,0.659091205317962,-0.598430896703632,0.206065224953312,-0.275311155237839,0.826938467656474,-0.324345978974742,-0.116624626407219,0.187953411069987,-0.282070811618026,0.437821066194151,-0.448355916690371,0.251984212571128,0.0881754645137153,-0.0912882237024815,-0.0595118045174057,-0.470675260095211
Bach_WTC1_De-Maria_Prelude_0_Minor (S1).wav,De-Maria,S1,0,Minor,0.121575238642429,3.30384897331933,0.75667223361259,0.332381039181582,0.66283061539854,0.663189061020552,0.463707596816624,0.563393826891392,0.45555621942684,0.736355039724253,0.999999999054838,0.972062399445776,0.979416308712901,0.336014771357085,-0.0385397651877661,0.141957136730697,-0.206096621181579,0.511559637036677,-0.384082049540455,0.214269623799054,-0.203818786724339,-0.205621929257352,0.496355730188212,-0.265307693311776,0.381247981169698,-0.441923263721072,0.389984398394247,-0.195193871396745,0.134711609968595,0.0527707986558594,-0.472815213610419,0.317267510128813,-0.306501755935958,0.291218564906873,0.0312112837735235,0.0174460181217218,0.232089894951868,-0.492189237958379
Bach_WTC1_De-Maria_Prelude_10_Major (P1).wav,De-Maria,P1,10,Major,0.147395547663182,5.28377608629319,0.939499217270846,0.525062284487801,0.723487138031381,0.439090777605743,0.665954689004448,0.763833084864999,0.338785706911034,0.649705564077699,0.378045611232154,0.99999999877965,0.607420527471855,0.658271993205861,0.656307656663669,-0.378341647947264,0.0974605081821918,0.0252541697242922,-0.409132582236909,0.876249836876635,-0.701629723710109,0.243938750419283,-0.159590404232312,0.0144511442656817,0.488190829036781,-0.753158537041939,0.322248965105992,-0.44464381947167,0.728854289213453,-0.550216901376312,0.0188913712829046,0.274820175916457,-0.339437491621145,0.324425844855122,-0.696451945385845,0.695324053469601,-0.0395740778134151,-0.294240464175143
Bach_WTC1_De-Maria_Prelude_10_Major (S1).wav,De-Maria,S1,10,Major,-0.0330535611892739,4.5639714216316,0.588147385824126,0.326282330998356,0.702953735468501,0.385174834462478,0.583132346779562,0.71394075569629,0.28269482788009,0.51463502570358,0.394575293180771,0.999999999400438,0.857627326537281,0.451445088371872,0.227750151689128,-0.279216551561834,0.137182764051879,0.243769472049477,-0.459143239911828,0.68768639683607,-0.484898131363159,0.02947128553948,-0.131189984739875,0.0167179858086566,0.711513529611086,-0.699643678009081,0.110877787674919,-0.466174803835901,0.74456709080036,-0.238932184871057,-0.235380573442972,0.117938860898408,-0.274447910924458,0.492984675138161,-0.567738869677187,0.396435065551675,0.22235651287907,-0.302485650191018
Bach_WTC1_De-Maria_Prelude_10_Minor (P1).wav,De-Maria,P1,10,Minor,-0.0513610335192162,3.68797603134174,0.659904139132518,0.999999998967911,0.173048945322122,0.681004258343979,0.188680055591943,0.474964930632866,0.464319528384951,0.33783568456819,0.227221282911137,0.586862132854627,0.693440266367242,0.200108821558714,-0.367510409973952,0.549393503230632,-0.293190567583607,0.11990418287019,-0.245671743850678,-0.0239288347358515,0.535099772062519,-0.586882310893744,0.262943295012186,-0.0423650637159759,0.0574404502013136,0.0347677273769672,-0.00419534584464227,0.226898989066667,-0.21756390020239,0.458299079933876,-0.57582722197926,0.119493682835786,0.299121241207944,-0.206967527917257,-0.112091035668492,-0.231515925815638,0.600754536749848,-0.356406572366441
Bach_WTC1_De-Maria_Prelude_10_Minor (S1).wav,De-Maria,S1,10,Minor,-0.213411644136095,4.20493874841027,0.745162856674613,0.67880753594507,0.311461513319488,0.775070536446747,0.294582818300898,0.823198481486711,0.395307966978394,0.491108416352471,0.490620970414479,0.945307254540297,0.999999998738708,0.231430999811102,-0.288530136234328,0.455885984118891,-0.420410696846793,0.456210567308273,-0.468540353791848,0.325788699963392,0.204662597269783,-0.657510927716528,0.442488416206401,-0.231616413912866,0.489765512609425,-0.308193248973802,0.189003891862121,-0.0847364013983531,0.0800358071180384,0.392891027803945,-0.76962439765811,0.390636934260611,-0.0625501167927236,0.0594866606400613,-0.147855465618838,-0.102385038558913,0.70317715674552,-0.648080058403359
Bach_WTC1_De-Maria_Prelude_11_Major (P1).wav,De-Maria,P1,11,Major,0.110188586636127,5.61299266308836,0.220909843101724,0.99999999903507,0.198922409853193,0.556868773370338,0.350907742367209,0.3439423797172,0.587367875182129,0.260113407711556,0.654547195683743,0.237966749769501,0.697928922902061,0.801675633645241,-0.701638974648413,0.464160702523625,-0.133595249800452,-0.26743446345792,0.536455206477953,-0.753732996616085,0.773601490797234,-0.399054749408925,0.00408242149820682,0.22996920661502,-0.507161847551585,0.754349253571342,-0.552673491888562,0.663412904161108,-0.64046378365838,0.433067523256078,-0.0695205377122183,-0.312139819784828,0.444111208309831,-0.551986109419277,0.557090424732598,-0.542691281019224,0.256013632815616,0.315779330207258
Bach_WTC1_De-Maria_Prelude_11_Major (S1).wav,De-Maria,S1,11,Major,-0.17564769131753,4.57971097305937,0.213212111973258,0.589964230368418,0.2320525091793,0.482057165239818,0.338761646673825,0.355500764663015,0.374115754895817,0.305684982118364,0.999999999373212,0.311252075496212,0.971628708515534,0.758834248660487,-0.655722076497403,0.426140764713038,-0.318034172408585,0.0799109155547531,0.421190201654635,-0.610557356196535,0.510050337187426,-0.440366951253934,0.284027418027507,0.00576437239019005,-0.223629507794131,0.52122605462304,-0.319399632424034,0.49459203323108,-0.54263175062711,0.377310202393439,-0.190299696645503,-0.080497759024008,0.0456628122031066,-0.332458693745666,0.69687374594057,-0.527316199027219,0.313238796711599,0.0649261410137464
