,filename,bpm_essentia-percival,bpm_essentia-degara,bpm_essentia-multifeature,bpm_MIRtoolbox-classical,bpm_MIRtoolbox-metre,bpm_librosa-beattrack,bpm_librosa-onsets
0,audio/Bach_1_NA_0_Major_flatMIDI.wav,137.8125,137.7795258,137.7795258,92.05121464,137.8090669,92.28515625,92.28515625
0,audio/Bach_1_NA_0_minor_flatMIDI.wav,143.5546875,107.9819489,107.9819489,107.9805902,,107.6660156,107.6660156
0,audio/Bach_1_NA_10_Major_flatMIDI.wav,75.99954224,151.7046051,151.8518066,151.9976046,,151.9990809,151.9990809
0,audio/Bach_1_NA_10_minor_flatMIDI.wav,137.8125,138.1723175,138.1723175,69.0094838,68.99915022,68.90625,68.90625
0,audio/Bach_1_NA_11_Major_flatMIDI.wav,131.6679993,131.7667236,131.86026,88.08500406,131.936292,132.5120192,132.5120192
0,audio/Bach_1_NA_11_minor_flatMIDI.wav,137.8125,137.7795258,137.7795258,137.7541194,138.0087652,68.90625,139.6748311
0,audio/Bach_1_NA_1_Major_flatMIDI.wav,88.34134674,178.20578,132.242569,131.8308125,87.81734546,132.5120192,132.5120192
0,audio/Bach_1_NA_1_minor_flatMIDI.wav,88.34134674,87.9776535,87.9776535,174.8749523,58.67000014,87.59269068,87.59269068
0,audio/Bach_1_NA_2_Major_flatMIDI.wav,131.6679993,130.7893677,130.3515167,131.9921418,131.9661628,132.5120192,132.5120192
0,audio/Bach_1_NA_2_minor_flatMIDI.wav,151.9990845,75.99952698,75.99952698,76.09900823,75.99051488,75.99954044,75.99954044
0,audio/Bach_1_NA_3_Major_flatMIDI.wav,137.8125,137.9419708,137.9419708,92.08347914,137.7219228,92.28515625,139.6748311
0,audio/Bach_1_NA_3_minor_flatMIDI.wav,144.0548706,143.9777527,143.9777527,142.949826,35.9868164,143.5546875,143.5546875
0,audio/Bach_1_NA_4_Major_flatMIDI.wav,103.359375,103.4454498,103.4885025,103.7035867,103.4824654,103.359375,103.359375
0,audio/Bach_1_NA_4_minor_flatMIDI.wav,100.3489075,99.97454834,100.0063705,107.9636218,99.9920769,99.38401442,99.38401442
0,audio/Bach_1_NA_5_Major_flatMIDI.wav,108.2297134,107.9523315,108.000061,107.9850616,,107.6660156,107.6660156
0,audio/Bach_1_NA_5_minor_flatMIDI.wav,92.28515625,91.96705627,91.96705627,182.8439321,91.98921912,92.28515625,92.28515625
0,audio/Bach_1_NA_6_Major_flatMIDI.wav,126.0480194,126.0119705,125.9909439,83.96272212,125.8420112,126.0480183,126.0480183
0,audio/Bach_1_NA_6_minor_flatMIDI.wav,88.34134674,178.2058105,87.97025299,175.9630689,88.02806038,87.59269068,117.4538352
0,audio/Bach_1_NA_7_Major_flatMIDI.wav,80.12354279,119.9847107,119.894783,79.96604294,119.9830585,120.1853198,120.1853198
0,audio/Bach_1_NA_7_minor_flatMIDI.wav,80.12354279,161.4989471,161.552124,158.9713112,79.99939957,79.50721154,79.50721154
0,audio/Bach_1_NA_8_Major_flatMIDI.wav,88.34134674,87.97025299,87.97025299,175.8903337,58.68609724,178.205819,178.205819
0,audio/Bach_1_NA_8_minor_flatMIDI.wav,111.7398682,111.9168854,111.9508286,112.1598696,111.9551858,112.3471467,112.3471467
0,audio/Bach_1_NA_9_Major_flatMIDI.wav,80.12354279,161.4989624,161.4989624,159.9240712,79.99060395,161.4990234,161.4990234
0,audio/Bach_1_NA_9_minor_flatMIDI.wav,114.2092514,114.0115585,114.0115662,114.3223852,114.1013923,114.84375,114.84375
0,audio/bachAshk2006/Bach_1_Ashkenazy_0_Major_bachAshk2006.wav,114.2092514,111.2195435,111.4408722,76.01923561,114.059864,191.40625,114.84375
0,audio/bachAshk2006/Bach_1_Ashkenazy_0_minor_bachAshk2006.wav,117.4538345,117.089653,117.4781189,117.4337461,,58.72691761,117.4538352
0,audio/bachAshk2006/Bach_1_Ashkenazy_10_Major_bachAshk2006.wav,82.6875,164.3592224,163.6797943,164.7691768,166.2391145,166.7086694,166.7086694
0,audio/bachAshk2006/Bach_1_Ashkenazy_10_minor_bachAshk2006.wav,150.8896027,151.282547,151.282547,73.74399929,76.4647464,71.77734375,147.65625
0,audio/bachAshk2006/Bach_1_Ashkenazy_11_Major_bachAshk2006.wav,74.35926056,111.7126923,110.3078079,153.5663726,,79.50721154,112.3471467
0,audio/bachAshk2006/Bach_1_Ashkenazy_11_minor_bachAshk2006.wav,129.1992188,129.6355438,131.7855682,129.1178509,64.6603441,66.25600962,129.1992188
0,audio/bachAshk2006/Bach_1_Ashkenazy_1_Major_bachAshk2006.wav,98.4375,184.5703278,184.5703278,96.06909837,,143.5546875,143.5546875
0,audio/bachAshk2006/Bach_1_Ashkenazy_1_minor_bachAshk2006.wav,83.35433197,162.769577,151.9369812,161.1799356,164.8578759,166.7086694,166.7086694
0,audio/bachAshk2006/Bach_1_Ashkenazy_2_Major_bachAshk2006.wav,149.7961884,148.6660156,148.6570587,149.2081778,,120.1853198,120.1853198
0,audio/bachAshk2006/Bach_1_Ashkenazy_2_minor_bachAshk2006.wav,89.1029129,178.2058716,178.2058716,177.1316188,177.6367693,178.205819,178.205819
0,audio/bachAshk2006/Bach_1_Ashkenazy_3_Major_bachAshk2006.wav,79.50720978,161.4989624,161.4989624,148.28075,,147.65625,156.6051136
0,audio/bachAshk2006/Bach_1_Ashkenazy_3_minor_bachAshk2006.wav,74.89809418,116.6600952,117.2977829,131.8236101,129.5032709,123.046875,126.0480183
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_Major_bachAshk2006.wav,96.59754944,95.93383789,95.93383789,189.7073522,96.38259533,83.35433468,97.50884434
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_minor_bachAshk2006.wav,101.3327179,101.3836212,101.9522858,104.2196944,103.0278757,97.50884434,105.46875
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_Major_bachAshk2006.wav,80.74951172,120.4136505,120.4787445,119.8470428,121.0256401,120.1853198,120.1853198
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_minor_bachAshk2006.wav,137.8125,135.660675,135.9217224,138.2390497,137.2946107,143.5546875,135.9991776
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_Major_bachAshk2006.wav,132.5120239,135.5346527,132.6428223,130.8777509,133.4330761,90.66611842,132.5120192
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_minor_bachAshk2006.wav,101.3327179,100.8993683,100.5910492,134.5218356,101.248664,101.3327206,101.3327206
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_Major_bachAshk2006.wav,95.703125,96.63983917,96.63983917,118.5374037,,191.40625,117.4538352
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_minor_bachAshk2006.wav,78.3025589,153.0848236,153.0848236,154.2915609,156.5185641,78.30255682,156.6051136
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_Major_bachAshk2006.wav,79.20258331,118.0416565,118.0352707,78.26786021,117.3615901,120.1853198,117.4538352
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_minor_bachAshk2006.wav,100.3489075,98.97409058,99.9208374,104.8183748,100.3320494,206.71875,101.3327206
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_Major_bachAshk2006.wav,77.71381378,153.4713287,153.4713287,155.5878764,155.3930604,151.9990809,156.6051136
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_minor_bachAshk2006.wav,128.3967438,128.6955719,128.6955719,130.1891522,128.1494243,84.72079918,129.1992188
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_Major_bachAshk2006Deadpan.wav,111.7398682,111.7319107,111.6917419,74.47958792,111.6190377,112.3471467,112.3471467
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_minor_bachAshk2006Deadpan.wav,116.7902527,116.7337875,116.6148529,116.5916826,116.4317932,117.4538352,117.4538352
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_Major_bachAshk2006Deadpan.wav,82.03125,164.4479065,163.6214752,163.7198764,162.5963248,82.03125,109.9567819
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_minor_bachAshk2006Deadpan.wav,75.17045593,75.21837616,75.21786499,75.21814941,75.20594492,74.89809783,74.89809783
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_Major_bachAshk2006Deadpan.wav,112.3471451,112.1877518,112.1877518,149.8047518,149.660856,112.3471467,112.3471467
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_minor_bachAshk2006Deadpan.wav,126.8213196,126.7159958,126.708725,126.6090798,126.7181079,126.0480183,126.0480183
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_Major_bachAshk2006Deadpan.wav,99.38401794,148.8625946,148.8625946,149.2871691,,99.38401442,99.38401442
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_minor_bachAshk2006Deadpan.wav,148.7185211,148.2645416,148.2645416,148.504912,49.42374697,147.65625,147.65625
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_Major_bachAshk2006Deadpan.wav,149.7961884,150.3906097,150.3906097,149.647701,,74.89809783,120.1853198
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_minor_bachAshk2006Deadpan.wav,88.34134674,88.39814758,88.39814758,176.9676641,88.42690196,178.205819,178.205819
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_Major_bachAshk2006Deadpan.wav,144.5585632,144.3485565,144.3485565,144.2398194,144.2495014,143.5546875,143.5546875
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_minor_bachAshk2006Deadpan.wav,116.4612656,116.2598572,116.3592834,116.601635,29.08515266,117.4538352,117.4538352
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_Major_bachAshk2006Deadpan.wav,94.82511139,94.57099915,94.57099915,188.2739459,94.51895975,191.40625,93.96306818
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_minor_bachAshk2006Deadpan.wav,98.4375,98.64739227,98.748909,99.08985519,98.8159941,99.38401442,99.38401442
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_Major_bachAshk2006Deadpan.wav,80.12354279,120.0269699,120.0071564,120.0245905,119.9707189,120.1853198,120.1853198
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_minor_bachAshk2006Deadpan.wav,135.1102905,135.5010834,135.5010834,135.0199511,135.5838073,135.9991776,135.9991776
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_Major_bachAshk2006Deadpan.wav,88.72049713,132.9099884,132.9099884,88.77386682,132.9060632,89.10290948,132.5120192
